part,family,core,flash_start,flash_size,ram_start,ram_size
py32e407xc,py32e407xx,m4,0x08000000,0x40000,0x20000000,0x1c000
py32e407xd,py32e407xx,m4,0x08000000,0x60000,0x20000000,0x24000
py32e407xe,py32e407xx,m4,0x08000000,0x80000,0x20000000,0x24000
py32f001cx4,py32f001cxx,m0,0x08000000,0x4000,0x20000000,0xc00
py32f002ax5,py32f002axx,m0,0x08000000,0x5000,0x20000000,0xc00
py32f002bx5,py32f002bxx,m0,0x08000000,0x6000,0x20000000,0xc00
py32f002cx5,py32f002cxx,m0,0x08000000,0x8000,0x20000000,0xc00
py32f002xx2,py32f002xxx,m0,0x08000000,0x2000,0x20000000,0xc00
py32f002xx4,py32f002xxx,m0,0x08000000,0x4000,0x20000000,0xc00
py32f002xx5,py32f002xxx,m0,0x08000000,0x6000,0x20000000,0xc00
py32f002zx4,py32f002zxx,m0,0x08000000,0x4000,0x20000000,0xc00
py32f003x4,py32f003xx,m0,0x08000000,0x4000,0x20000000,0x800
py32f003x6,py32f003xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f003x7,py32f003xx,m0,0x08000000,0xc000,0x20000000,0x1800
py32f003x8,py32f003xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f021x8,py32f021xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f030x4,py32f030xx,m0,0x08000000,0x4000,0x20000000,0x800
py32f030x6,py32f030xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f030x7,py32f030xx,m0,0x08000000,0xc000,0x20000000,0x1800
py32f030x8,py32f030xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f031x4,py32f031xx,m0,0x08000000,0x4000,0x20000000,0x800
py32f031x6,py32f031xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f031x7,py32f031xx,m0,0x08000000,0xc000,0x20000000,0x1800
py32f031x8,py32f031xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f032x8,py32f032xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f040cx6,py32f040cxx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f040cx8,py32f040cxx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f040cx9,py32f040cxx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f040cxb,py32f040cxx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f040epxb,py32f040epxx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f040ex6,py32f040exx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f040ex8,py32f040exx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f040ex9,py32f040exx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f040exb,py32f040exx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f040x6,py32f040xx,m0,0x08000000,0x8000,0x20000000,0x1000
py32f040x8,py32f040xx,m0,0x08000000,0x10000,0x20000000,0x2000
py32f040x9,py32f040xx,m0,0x08000000,0x18000,0x20000000,0x3000
py32f040xb,py32f040xx,m0,0x08000000,0x20000,0x20000000,0x4000
py32f071cx6,py32f071cxx,m0,0x08000000,0x8000,0x20000000,0x1000
